ID,PARENTID,ORGTYPE,UIC,SUBUNIT,LDUIC,TITLE,PARNO,GRADE,POSCO,ERC,OFF,WO,ENL,MIL,CIV,AUTHEQP,RUNDATE
72060793958881079,72060793958881079,EQ,,,,BAYONET MULTI SYS M9,101,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881079,72060793958881079,EQ,,,,"PISTOL,9MM,SEMIAUTO",101,,P05043,A,0,0,0,0,0,1,23-Mar-2026
72060793958881080,72060793958881070,CR,,,,Truck: Light Cargo/Troop,101,,,,0,0,0,0,0,0,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,NIGHT VIS G AN/PVS-7A,101,,N05482,A,0,0,0,0,0,2,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,RADIO SET AN/VRC-90F,101,,R68044,A,0,0,0,0,0,1,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,TRK UT EX CAP M1152A1,101,,T37588,A,0,0,0,0,0,1,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,ENCRYPTION-DECRYPTI,101,,E05008,A,0,0,0,0,0,1,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,"COMPUTER SYSTEM,DIGIT",101,,C05036,A,0,0,0,0,0,1,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,SOFTWARE,101,,M05098,A,0,0,0,0,0,1,23-Mar-2026
72060793958881080,72060793958881080,EQ,,,,NA SE SA AN/PSN-13(A),101,,N96248,A,0,0,0,0,0,1,23-Mar-2026
72060793958881070,72060793958881070,EQ,,,,COMPUTER SYS: DIG,101,,C27963,A,0,0,0,0,0,2,23-Mar-2026
72060793958881070,72060793958881070,EQ,,,,"TRANSFER UNIT,CRYPTOG",101,,C05002,A,0,0,0,0,0,1,23-Mar-2026
72060793958881081,72060793958881069,UN,,,,Company Headquarters/Headquarters and Headquarters Company (HHC),102,,,,2,0,14,16,0,0,23-Mar-2026
72060793979034282,72060793958881081,BL,,,,Commander,102,O-3,12A00,,1,0,0,1,0,0,23-Mar-2026
72060793979034282,72060793979034282,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060793979034282,72060793979034282,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793979034282,72060793979034282,EQ,,,,"PISTOL,9MM,SEMIAUTO",102,,P05043,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881081,CR,,,,Truck: Light Command and Control (C2) Vehicle,102,,,,0,0,1,1,0,0,23-Mar-2026
72060794020462656,72060793958881083,BL,,,,Reconnaissance Sergeant,102,E-5,12B2O,,0,0,1,1,0,0,23-Mar-2026
72060794020462656,72060794020462656,EQ,,,,SIGHT BORE OPT M150,102,,S45729,A,0,0,0,0,0,1,23-Mar-2026
72060794020462656,72060794020462656,EQ,,,,MACH GUN 5.56MM M249,102,,M09009,A,0,0,0,0,0,1,23-Mar-2026
72060794020462656,72060794020462656,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060794020462656,72060794020462656,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,NIGHT VIS G AN/PVS-7A,102,,N05482,A,0,0,0,0,0,2,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,TR UT EX CAP: M1165A1,102,,T56383,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,POWER SUPPLY,102,,P40750,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,ANT GRP OE-254()/GRC,102,,A79381,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,RADIO SET AN/VRC-90F,102,,R68044,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,ENCRYPTION-DECRYPTI,102,,E05008,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,"COMPUTER SYSTEM,DIGIT",102,,C05036,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,SOFTWARE,102,,M05098,A,0,0,0,0,0,1,23-Mar-2026
72060793958881083,72060793958881083,EQ,,,,NA SE SA AN/PSN-13(A),102,,N96248,A,0,0,0,0,0,1,23-Mar-2026
72060795699084182,72060793958881081,BL,,,,First Sergeant (1SG),102,E-8,12Y5M,,0,0,1,1,0,0,23-Mar-2026
72060795699084182,72060795699084182,EQ,,,,SIGHT REFLEX COLLIMA,102,,S60288,A,0,0,0,0,0,1,23-Mar-2026
72060795699084182,72060795699084182,EQ,,,,CARBINE 5.56MILL M4A1,102,,C06935,A,0,0,0,0,0,1,23-Mar-2026
72060795699084182,72060795699084182,EQ,,,,MASK SYSTEM CHEMICA,102,,M12986,A,0,0,0,0,0,1,23-Mar-2026
72060795699084182,72060795699084182,EQ,,,,BAYONET MULTI SYS M9,102,,B49004,A,0,0,0,0,0,1,23-Mar-2026
72060793958881086,72060793958881081,CR,,,,Truck: Light Cargo/Troop,102,,,,0,0,1,1,0,0,23-Mar-2026
